,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,LATITUDE,LONGITUDE,LocationID,ACCESS2,ARTHRITIS,BINGE,BPHIGH,BPMED,CANCER,CASTHMA,CERVICAL,CHD,CHECKUP,CHOLSCREEN,COGNITION,COLON_SCREEN,COPD,COREM,COREW,CSMOKING,DENTAL,DEPRESSION,DIABETES,DISABILITY,GHLTH,HEARING,HIGHCHOL,INDEPLIVE,KIDNEY,LPA,MAMMOUSE,MHLTH,MOBILITY,OBESITY,PHLTH,SELFCARE,SLEEP,STROKE,TEETHLOST,VISION,Geolocation,TotalPopulation,PRICE_cat2,PROPERTY TYPE_Condo/Co-op,PROPERTY TYPE_Mobile/Manufactured Home,PROPERTY TYPE_Multi-Family (2-4 Unit),PROPERTY TYPE_Multi-Family (5+ Unit),PROPERTY TYPE_Single Family Residential,PROPERTY TYPE_Townhouse,STATE OR PROVINCE_ME,STATE OR PROVINCE_NH,STATE OR PROVINCE_VT
4520,489000,3.0,1.0,1704.0,60983.0,1972.0,1,287.0,43.6643826,-70.4290359,4038.0,6.1,22.3,20.5,26.9,70.5,6.6,11.2,84.1,5.0,75.6,58.7,12.7,80.6,5.5,54.1,41.1,12.1,73.7,24.3,6.7,24.6,10.2,6.0,35.3,5.8,2.5,19.2,80.3,15.3,9.7,26.0,8.8,2.6,28.8,2.4,10.8,3.3,(-70.45805411 43.70339371),16381.0,High,0,0,0,0,1,0,1,0,0
4521,469900,3.0,2.5,1440.0,7405.0,2023.0,1,326.0,43.684469,-70.37195,4092.0,7.8,25.2,18.6,30.7,72.5,7.2,11.6,82.0,6.2,76.2,58.5,14.4,79.6,7.0,51.9,39.1,15.0,68.5,24.8,8.3,28.5,12.9,7.2,37.4,7.2,3.0,23.2,79.7,15.9,12.4,28.5,10.4,3.4,30.3,2.9,13.8,4.4,(-70.35386306 43.69536315),17515.0,High,0,0,0,0,1,0,1,0,0
4522,2700000,4.0,4.5,4908.0,80586.0,2023.0,1,550.0,43.5918837,-70.2583327,4107.0,3.5,25.8,18.0,30.1,74.9,8.6,10.2,87.9,5.4,79.5,72.4,8.3,83.7,4.7,59.0,46.9,7.9,81.1,20.6,7.1,20.6,8.1,6.1,38.2,4.1,2.8,15.2,82.4,10.9,8.9,24.5,7.6,2.1,25.8,2.4,6.1,2.5,(-70.23789594 43.59026208),8980.0,High,0,0,0,0,1,0,1,0,0
4523,625000,4.0,3.0,2803.0,62726.0,1987.0,1,223.0,43.7737346,-70.2649872,4021.0,4.3,23.6,19.5,27.9,71.7,7.3,10.5,87.4,4.8,77.6,68.6,9.3,82.0,4.7,57.7,47.5,9.6,79.1,21.7,6.6,20.3,8.5,5.5,36.3,4.4,2.5,16.0,81.4,11.9,8.5,25.5,7.8,2.2,26.9,2.2,7.2,2.6,(-70.26489858 43.79743039),5820.0,High,0,0,0,0,1,0,1,0,0
4525,395000,3.0,1.0,972.0,20908.0,1945.0,1,406.0,43.7152414,-70.3344652,4092.0,7.8,25.2,18.6,30.7,72.5,7.2,11.6,82.0,6.2,76.2,58.5,14.4,79.6,7.0,51.9,39.1,15.0,68.5,24.8,8.3,28.5,12.9,7.2,37.4,7.2,3.0,23.2,79.7,15.9,12.4,28.5,10.4,3.4,30.3,2.9,13.8,4.4,(-70.35386306 43.69536315),17515.0,Low,0,0,0,0,1,0,1,0,0
4527,500000,3.0,2.0,2839.0,23958.0,1966.0,1,176.0,43.8622831,-69.9166062,4011.0,6.6,25.0,18.3,29.9,74.1,7.8,11.2,82.6,6.1,77.2,61.2,12.7,81.7,6.3,54.2,41.4,11.6,73.0,23.3,7.8,26.8,11.3,7.1,38.0,6.3,3.0,20.6,79.9,14.5,11.3,25.6,9.4,2.9,28.1,2.8,11.3,3.8,(-70.030177 43.91350835),20278.0,High,0,0,0,0,1,0,1,0,0
4528,349000,3.0,1.0,2289.0,8276.0,1910.0,2,152.0,43.6714503,-70.3033812,4103.0,6.6,23.0,19.2,28.1,71.5,7.1,11.2,83.3,5.4,76.3,60.2,12.5,80.5,5.6,54.5,40.0,11.8,72.5,23.5,7.2,25.3,10.7,6.4,35.7,6.1,2.7,19.9,80.8,14.6,10.4,26.1,8.9,2.7,28.8,2.5,11.2,3.6,(-70.2930211 43.69458023),30606.0,Low,0,0,0,0,1,0,1,0,0
4530,550000,4.0,2.5,2600.0,169884.0,2005.0,2,212.0,43.9213501,-70.2921335,4260.0,6.7,22.6,21.1,27.5,68.5,6.1,11.2,84.6,4.8,74.8,59.5,12.9,79.3,5.9,53.2,42.2,14.8,71.7,24.4,6.9,24.1,10.9,5.7,35.1,5.8,2.4,20.2,80.5,15.2,9.8,28.3,9.3,2.7,30.5,2.3,11.4,3.3,(-70.2958704 43.96406716),5542.0,High,0,0,0,0,1,0,1,0,0
4531,625000,3.0,1.0,1800.0,14374.0,1975.0,2,347.0,43.8029042,-70.1975782,4096.0,4.4,25.5,18.1,30.0,74.6,8.4,10.4,86.4,5.6,78.7,69.4,9.4,82.9,5.1,57.8,45.1,9.2,78.7,21.3,7.2,22.1,9.0,6.4,37.9,4.7,2.8,16.9,81.6,11.8,9.6,24.8,8.1,2.3,26.4,2.5,7.6,2.8,(-70.18419798 43.80799891),8349.0,High,0,0,0,0,1,0,1,0,0
4532,999999,4.0,2.5,2309.0,22215.0,1884.0,2,433.0,43.689018,-70.264186,4103.0,6.6,23.0,19.2,28.1,71.5,7.1,11.2,83.3,5.4,76.3,60.2,12.5,80.5,5.6,54.5,40.0,11.8,72.5,23.5,7.2,25.3,10.7,6.4,35.7,6.1,2.7,19.9,80.8,14.6,10.4,26.1,8.9,2.7,28.8,2.5,11.2,3.6,(-70.2930211 43.69458023),30606.0,High,0,0,0,0,1,0,1,0,0
4533,415000,3.0,1.0,1477.0,15245.0,1953.0,2,281.0,43.6869802,-70.4354653,4038.0,6.1,22.3,20.5,26.9,70.5,6.6,11.2,84.1,5.0,75.6,58.7,12.7,80.6,5.5,54.1,41.1,12.1,73.7,24.3,6.7,24.6,10.2,6.0,35.3,5.8,2.5,19.2,80.3,15.3,9.7,26.0,8.8,2.6,28.8,2.4,10.8,3.3,(-70.45805411 43.70339371),16381.0,High,0,0,0,0,1,0,1,0,0
4534,399000,3.0,1.0,1125.0,20037.0,1975.0,2,355.0,43.7910898,-70.1902027,4096.0,4.4,25.5,18.1,30.0,74.6,8.4,10.4,86.4,5.6,78.7,69.4,9.4,82.9,5.1,57.8,45.1,9.2,78.7,21.3,7.2,22.1,9.0,6.4,37.9,4.7,2.8,16.9,81.6,11.8,9.6,24.8,8.1,2.3,26.4,2.5,7.6,2.8,(-70.18419798 43.80799891),8349.0,Low,0,0,0,0,1,0,1,0,0
4535,1250000,3.0,1.0,1258.0,22215.0,1935.0,2,994.0,43.7692415,-69.9713749,4079.0,5.3,29.8,16.4,35.2,77.8,9.4,10.7,84.8,7.3,79.9,70.0,10.7,83.0,7.0,55.1,44.7,11.3,75.3,21.7,9.3,26.4,11.5,8.0,41.6,5.7,3.4,20.4,80.8,12.3,12.5,26.7,9.9,3.0,27.2,3.2,9.7,3.6,(-69.91825201 43.83325865),3871.0,High,0,0,0,0,1,0,1,0,0
4536,648000,4.0,2.5,2080.0,26571.0,2023.0,2,312.0,43.670756,-70.434433,4038.0,6.1,22.3,20.5,26.9,70.5,6.6,11.2,84.1,5.0,75.6,58.7,12.7,80.6,5.5,54.1,41.1,12.1,73.7,24.3,6.7,24.6,10.2,6.0,35.3,5.8,2.5,19.2,80.3,15.3,9.7,26.0,8.8,2.6,28.8,2.4,10.8,3.3,(-70.45805411 43.70339371),16381.0,High,0,0,0,0,1,0,1,0,0
4538,290000,3.0,2.0,1575.0,39204.0,1973.0,3,184.0,43.7929238,-70.6461444,4085.0,6.8,22.9,20.9,27.6,68.6,6.1,11.4,84.5,4.8,74.9,58.9,13.3,79.0,6.0,52.3,42.3,15.3,70.8,25.0,7.0,24.7,11.0,5.7,35.1,6.0,2.4,20.7,80.0,15.7,10.0,28.8,9.5,2.8,31.0,2.3,11.5,3.4,(-70.62665562 43.7744705),1786.0,Low,0,0,0,0,1,0,1,0,0
